608,Ascension Island
618,Crozet Archipelago
635,Kerguelen Islands
401,Afghanistan
255,Madeira
204,Azores
607,St. Paul and Amsterdam Islands
201,Albania
605,Algeria People's Democratic Republic of
559,American Samoa
202,Andorra
603,Angola
304,Antigua and Barbuda
305,Antigua and Barbuda
423,Azerbaijan
701,Argentina
503,Australia
203,Austria
308,Bahamas
309,Bahamas
311,Bahamas
408,Bahrain
405,Bangladesh
216,Armenia
314,Barbados
205,Belgium
310,Bermuda
410,Bhutan
720,Bolivia
478,Bosnia and Herzegovina
611,Botswana
710,Brazil
312,Belize
557,Solomon Islands
378,British Virgin Islands
508,Brunei Darussalam
207,Bulgaria
506,Myanmar
609,Burundi
206,Belarus
514,Cambodia
515,Cambodia
613,Cameroon
316,Canada
617,Cape Verde
319,Cayman Islands
612,Central African Republic
417,Sri Lanka
670,Chad
725,Chile
412,China
413,China
416,Taiwan  Province of China
516,Christmas Island
523,Cocos (Keeling) Islands
730,Colombia
616,Comoros
615,Congo  People's Republic of
676,Congo Democratic Republic of
518,Cook Islands
321,Costa Rica
238,Croatia
323,Cuba
209,Cyprus
210,Cyprus
212,Cyprus
270,Czech Republic
610,Benin
219,Denmark
220,Denmark
325,Dominica
327,Dominican Republic
735,Ecuador
359,El Salvador
631,Equatorial Guinea
624,Ethiopia
625,Eritrea
276,Estonia
231,Faroe Islands
740,Falkland Islands (Malvinas)
520,Fiji
230,Finland
226,France
227,France
228,France
745,French Guiana
546,French Polynesia
501,French Southern Territories (Adelie Land)
621,Djibouti
626,Gabon
213,Georgia
629,Gambia
443,Palestinian Territory Occupied
211,Germany
218,Germany
627,Ghana
236,Gibraltar
529,Kiribati
237,Greece
239,Greece
240,Greece
331,Greenland
330,Grenada
329,Guadaloupe
332,Guatemala
632,Guinea
750,Guyana
336,Haiti
208,Vatican City State
334,Honduras
477,Hong Kong
243,Hungary
251,Iceland
419,India
525,Indonesia
422,Iran  Islamic Republic of
425,Iraq
250,Ireland
428,Israel
247,Italy
619,Cote D'Ivoire
339,Jamaica
431,Japan
432,Japan
436,Kazakhstan
438,Jordan
634,Kenya
445,Korea  Democratic People's Republic of
440,Korea  Republic of
441,Korea  Republic of
447,Kuwait
451,Kyrgyz Republic
531,Lao People's Democratic Republic
450,Lebanon
644,Lesotho
275,Latvia
636,Liberia
637,Liberia
642,Libyan Arab Jamahiriya
252,Liechtenstein
277,Lithuania
253,Luxembourg
453,Macao  Special Administrative Region of China
647,Madagascar
655,Malawi
533,Malaysia
455,Maldives
649,Mali
215,Malta
248,Malta
249,Malta
256,Malta
347,Martinique
654,Mauritania
645,Mauritius
345,Mexico
254,Monaco
457,Mongolia
214,Moldova
262,Montenegro
348,Montserrat
242,Morocco
650,Mozambique
461,Oman
659,Namibia
544,Nauru
459,Nepal
244,Netherlands
245,Netherlands
246,Netherlands
306,Netherlands Antilles
307,Aruba
540,New Caledonia
576,Vanuatu
512,New Zealand
350,Nicaragua
656,Niger
657,Nigeria
542,Niue
257,Norway
258,Norway
259,Norway
536,Northern Mariana Islands
510,Micronesia  Federated States of
538,Marshall Islands
511,Palau
463,Pakistan
351,Panama
352,Panama
353,Panama
354,Panama
355,Panama
356,Panama
357,Panama
370,Panama
371,Panama
372,Panama
373,Panama
374,Panama
553,Papua New Guinea
755,Paraguay
760,Peru
548,Philippines
555,Pitcairn Island
261,Poland
263,Portugal
630,Guinea-Bissau
358,Puerto Rico
466,Qatar
660,Reunion / Mayotte
264,Romania
273,Russian Federation
661,Rwanda
665,St. Helena
341,St. Kitts and Nevis
301,Anguilla
343,St. Lucia
361,St. Pierre and Miquelon
375,St. Vincent and the Grenadines
376,St. Vincent and the Grenadines
377,St. Vincent and the Grenadines
268,San Marino
668,Sao Tome and Principe
403,Saudi Arabia
663,Senegal
279,Serbia
664,Seychelles
667,Sierra Leone
563,Singapore
564,Singapore
565,Singapore
267,Slovakia
574,Vietnam
278,Slovenia
666,Somalia
601,South Africa
679,Zimbabwe
224,Spain
225,Spain
662,Sudan
765,Suriname
669,Swaziland
265,Sweden
266,Sweden
269,Switzerland
468,Syrian Arab Republic
567,Thailand
671,Togo
570,Tonga
362,Trinidad and Tobago
470,United Arab Emirates
672,Tunisia
271,Turkey
434,Turkmenistan
364,Turks and Caicos Islands
572,Tuvalu
675,Uganda
272,Ukraine
274,Macedonia  the former Yugoslav Republic of
622,Egypt
232,United Kingdom
233,United Kingdom
234,United Kingdom
235,United Kingdom
674,Tanzania  United Republic of
677,Tanzania  United Republic of
303,United States of America
338,United States of America
366,United States of America
367,United States of America
368,United States of America
369,United States of America
379,US Virgin Islands
633,Burkina Faso
770,Uruguay
437,Uzbekistan
775,Venezuela
578,Wallis and Futuna Islands
561,Samoa
473,Yemen
475,Yemen
678,Zambia
